2.381,2.641,1.74,0.125,0.311,0.416897983,0.420291755,0.683,0.544,0.3,0.967,0.322,0.533,2.94,1.025,2.64,3,2.295
2.386,2.475,1.63,0.133,0.289,0.383,0.411,0.611,0.633,0.2889,0.933,0.322,0.55,2.766,0.956,2.45,2.813,2.3
1.975,2.125,1.381,0.1056,0.261,0.3389,0.3889,0.5111,0.4889,0.2611,0.897,0.3,0.438,2.425,0.833,2.1375,2.4625,2.061
2.203,2.3,1.452,0.0889,0.267,0.3444,0.3667,0.5833,0.5111,0.2778,0.8944,0.3167,0.4389,2.438,0.85,2.175,2.513,2.022
2.163,2.3,1.5,0.0944,0.25,0.3556,0.3833,0.6056,0.6,0.2778,0.9286,0.3111,0.4556,2.513,0.888,2.213,2.5,1.999
1.94,2.1,1.35,0.0889,0.2444,0.3222,0.3667,0.4889,0.5333,0.25,0.8278,0.2778,0.4222,2.5,0.8,2.263,2.5938,2.245
1.963,2.154,1.4,0.11,0.278,0.3611,0.3556,0.524,0.633,0.256,0.867,0.3,0.467,2.656,0.833,2.342,2.741,2.297
1.925,2.1,1.381,0.071,0.256,0.3319876,0.372547702,0.5,0.589,0.262,0.889,0.286,0.444,2.625,0.841,2.25,2.656,2.172
2.02,2.1625,1.413,0.1167,0.25,0.3333,0.3667,0.5278,0.45,0.25,0.8667,0.2944,0.4333,2.4,0.8667,2.1125,2.45,2.113
2.42,2.453,1.521,0.155,0.311,0.35,0.389,0.649,0.572,0.3,0.817,0.317,0.467,1.856,0.682,1.65,1.84,1.256
2.344,2.344,1.495,0.138,0.317,0.344,0.411,0.683,0.611,0.311,0.828,0.322,0.456,1.86,0.667,1.62,1.88,1.267
2.078,2.03,1.349,0.116,0.291,0.333,0.394,0.6,0.506,0.261,0.75,0.283,0.369,1.389,0.589,1.23,1.384,0.983
1.913,1.889,1.278,0.151,0.287,0.326761427,0.367,0.54,0.511,0.253,0.697,0.276,0.372,1.314,0.558,1.175,1.278,0.933
2.34,2.46,1.508,0.125,0.33,0.366741093,0.407164323,0.7,0.55,0.27,0.857,0.27,0.411,1.675,0.69,1.47,1.68,1.244
2.338,2.328,1.524,0.1423,0.33,0.350780447,0.378,0.67,0.51,0.22,0.866,0.305,0.428,1.75,0.64,1.53,1.68,1.199
2.222,2.375,1.5,0.124,0.272,0.311,0.367,0.613,0.522,0.269,0.772,0.289,0.467,1.9,0.678,1.68,1.86,1.289
2,2.047,1.31,0.16,0.267,0.311,0.389,0.53,0.528,0.267,0.767,0.267,0.45,1.87,0.65,1.62,1.869,1.333
2.625,2.703,1.66,0.175,0.339,0.394,0.428,0.811,0.689,0.322,0.984,0.344,0.478,1.816,0.722,1.571,1.8,1.123
2.5,2.516,1.596,0.171,0.367,0.379837182,0.4,0.817,0.667,0.322,0.933,0.339,0.478,1.72,0.733,1.54,1.684,1.069
2.594,2.719,1.66,0.135,0.328,0.364292736,0.433,0.802,0.644,0.311,0.917,0.35,0.517,1.77,0.746,1.571,1.784,1.122
1.688,1.8,1.089,0.094,0.244,0.28186701,0.360844151,0.367,0.344,0.206,0.633,0.228,0.306,1.083,0.467,0.961,0.989,0.889
1.808,1.788,1.151,0.09,0.26,0.299709085,0.378110688,0.38,0.397,0.218,0.653,0.244,0.333,1.21,0.5,1.033,1.117,0.928
1.705,1.72,1.056,0.11,0.222,0.267,0.333,0.372,0.378,0.206,0.601,0.233,0.306,1.087,0.469,0.956,1.033,0.905
1.73,1.69,1.08,0.111,0.244,0.280031762,0.340647138,0.428,0.361,0.211,0.611,0.244,0.322,1.11,0.467,0.978,1.022,0.783
1.83,1.82,1.09,0.133,0.267,0.267,0.328,0.4,0.444,0.211,0.644,0.244,0.344,1.127,0.49,1.056,1.089,0.927
2.05,1.975,1.27,0.1556,0.278,0.289,0.35,0.539,0.561,0.233,0.744,0.2611,0.4,1.484,0.539,1.254,1.46,0.9879
2,1.963,1.32,0.1556,0.289,0.3,0.383,0.544,0.511,0.25,0.733,0.256,0.406,1.429,0.567,1.222,1.421,1.022
1.91,1.92,1.23,0.133,0.256,0.291,0.356,0.517,0.444,0.228,0.633,0.244,0.378,1.325,0.5,1.15,1.222,0.911
2.063,2.063,1.313,0.1,0.267,0.311,0.389,0.589,0.522,0.267,0.689,0.272,0.389,1.357,0.544,1.174,1.183,0.944
2.113,2.1,1.3,0.161,0.278,0.3,0.367,0.533,0.5,0.244,0.711,0.267,0.389,1.437,0.567,1.28,1.33,0.927
2.188,2.013,1.298,0.2,0.278,0.289,0.356,0.5,0.539,0.233,0.711,0.267,0.4,1.365,0.539,1.254,1.349,0.959
2,1.875,1.254,0.094,0.233,0.2889,0.3222,0.421,0.4,0.211,0.746,0.238,0.4,2.038,0.714,1.87,1.96,2.11
1.93,1.96,1.23,0.1,0.233,0.3,0.333,0.4111,0.5,0.2333,0.744,0.25,0.4167,2.075,0.69,1.72,1.86,2.022
2.375,2.531,1.579,0.184,0.389,0.45,0.4944,0.548,0.483,0.289,0.844,0.311,0.5,2.083,0.756,1.77,2.063,1.378
2.272,2.469,1.548,0.18,0.379,0.4056,0.4833,0.555,0.411,0.283,0.794,0.317,0.476,2.01,0.744,1.68,1.94,1.3
2.3,2.425,1.49,0.1833,0.3667,0.4056,0.5,0.5,0.3944,0.222,0.811,0.3167,0.492,2.075,0.794,1.72,1.91,1.434
2.3,2.4625,1.571,0.2222,0.3889,0.4278,0.4833,0.5444,0.61111,0.28888,0.85,0.3111,0.47777,2.15,0.7833,1.82,2.1,1.322
2.413,2.531,1.587,0.2111,0.3667,0.4333,0.5,0.5667,0.4611,0.2889,0.8333,0.3167,0.4889,2.038,0.7278,1.68,1.92,1.277
2.225,2.3,1.516,0.1611,0.3444,0.4222,0.45,0.5333,0.6611,0.2778,0.8,0.3056,0.4667,1.92,0.7111,1.86,1.85,1.261
2.388,2.484,1.556,0.1667,0.3778,0.4222,0.4944,0.5,0.5667,0.3,0.85,0.3111,0.5,1.938,0.7278,1.62,1.8,1.256
2.413,2.48,1.59,0.1889,0.4111,0.4333,0.5111,0.55,0.4778,0.3,0.889,0.3222,0.4889,2.125,0.7889,1.77,2.025,1.389
2.238,2.238,1.437,0.1556,0.3667,0.4111,0.4556,0.4867,0.5278,0.2778,0.7944,0.2889,0.45,1.94,0.7111,1.61,1.8,1.311
2.263,2.422,1.452,0.1444,0.3556,0.4389,0.5111,0.4944,0.4556,0.2667,0.8278,0.3111,0.4667,1.98,0.7278,1.68,1.856,1.377
2.163,2.325,1.464,0.1722,0.3611,0.4222,0.4556,0.47,0.4333,0.2667,0.8111,0.2889,0.4556,1.92,0.7167,1.62,1.896,1.3
2.488,2.734,1.73,0.2611,0.4333,0.4778,0.5833,0.58,0.5667,0.3222,0.9333,0.3389,0.5222,2.338,0.85,1.93,2.275,1.5
2.328,2.313,1.587,0.188,0.389,0.436419159,0.467,0.548,0.511,0.294,0.911,0.311,0.472,2.425,0.828,1.955,2.138,1.594
2.344,2.475,1.579,0.188,0.389,0.449195661,0.511,0.533,0.544,0.294,0.889,0.311,0.489,2.363,0.822,2.025,2.175,1.6
2.438,2.516,1.6,0.167,0.411,0.417,0.522,0.522,0.567,0.3,0.867,0.317,0.522,2.238,0.786,1.925,2.175,1.489
2.425,2.588,1.68,0.233,0.38,0.467,0.522,0.544,0.567,0.311,0.905,0.322,0.544,2.375,0.794,2.025,2.375,1.445
2.325,2.35,1.587,0.189,0.378,0.467,0.489,0.528,0.567,0.3,0.878,0.311,0.5,2.363,0.756,1.9,2.25,1.495
2.5,2.563,1.625,0.189,0.4,0.456,0.511,0.598,0.578,0.3,0.9,0.344,0.522,2.425,0.811,2,2.35,1.456
2.275,2.445,1.58,0.189,0.38,0.428,0.511,0.528,0.556,0.278,0.9,0.322,0.511,2.275,0.778,2,2.32,1.578
1.675,1.65,1.056,0.079,0.227,0.3222,0.3778,0.309,0.455,0.211,0.7,0.151,0.339,2.1,0.633,1.82,1.875,2.105
1.575,1.763,1.089,0.077,0.233,0.3,0.3722,0.31,0.417,0.206,0.713,0.222,0.35,2.088,0.635,1.788,1.94,2.148
1.638,1.658,1.063327724,0.078,0.224,0.29772017,0.364791796,0.3,0.417,0.211,0.672,0.211,0.35,2.075,0.639,1.36,1.91,1.946707482
2.172,2.175,1.54,0.087,0.272,0.393931366,0.412779002,0.413,0.528,0.283,0.9375,0.228,0.522,3.48,0.938,3.031,3.2,3.078
2.172,2.15,1.508,0.083,0.288,0.361,0.444,0.428,0.516,0.278,0.944,0.228,0.539,3.52,0.944,3.063,3.289,3.134
2.152,2.27,1.413,0.087,0.28,0.346573497,0.408538917,0.428,0.605,0.278,0.906,0.3,0.516,3.296,0.905,2.922,2.975,2.999
1.913,1.92,1.286,0.078,0.224,0.311377943,0.368860437,0.365,0.467,0.228,0.75,0.244,0.433,2.797,0.786,2.438,2.563,2.631
1.938,1.98,1.317,0.116,0.223,0.29883249,0.349432849,0.381,0.483,0.239,0.817,0.251,0.417,2.656,0.772,2.37,2.203,2.447
